id,programme,title_el,research_question_el,research_question_en,unit,outcome,preferred_models,status
AT-RQ2,Antonis Tritsis,Θεματικές προτεραιότητες,"Πώς διαφοροποιείται η σύνθεση των θεματικών προσκλήσεων AT01–AT13 μεταξύ Περιφερειών;","How does the composition of thematic calls AT01–AT13 vary across regions?",Project/region,Call mix and budget shares,Contingency analysis; multinomial model; compositional charts,Reconstructed from dataset scope
AT-RQ3,Antonis Tritsis,Τύπος δικαιούχου,"Διαφέρουν το μέγεθος, η θεματική και ο χρόνος έγκρισης των έργων ανά τύπο δικαιούχου;","Do project size, theme and approval timing differ by beneficiary type?",Project,Approved budget and approval time,ANOVA/Kruskal; quantile regression; survival/duration model,Reconstructed from dataset scope
AT-RQ4,Antonis Tritsis,Περιφερειακές ανισότητες,"Υπάρχουν συστηματικές περιφερειακές ανισότητες στη χρηματοδότηση, πριν και μετά την κανονικοποίηση ως προς τον πληθυσμό και τις ανάγκες υποδομών;","Are there systematic regional funding inequalities before and after normalisation for population and infrastructure needs?",Region,Budget per capita / need-adjusted funding,Weighted regression; inequality indices; spatial model,Reconstructed; requires external denominators
AT-RQ5,Antonis Tritsis,Χρονική εξέλιξη,"Πώς εξελίχθηκαν διαχρονικά ο αριθμός, ο προϋπολογισμός και η θεματική σύνθεση των εγκρίσεων έως τον Αύγουστο 2025;","How did the count, budget and thematic composition of approvals evolve through August 2025?",Month/quarter,Approvals and budget,Time series; structural-break/seasonality diagnostics,Reconstructed from dataset scope
AT-RQ6,Antonis Tritsis,Χωρική συγκέντρωση,"Παρουσιάζουν οι εγκρίσεις και οι προϋπολογισμοί θετική χωρική αυτοσυσχέτιση ή τοπικές συστάδες υψηλών/χαμηλών τιμών;","Do approvals and budgets exhibit positive spatial autocorrelation or local high/low clusters?",Region/NUTS3,Counts and budgets,Moran's I; LISA; spatial lag/error sensitivity,Reconstructed from GIS objective
AT-RQ7,Antonis Tritsis,Συγκέντρωση δικαιούχων,"Σε ποιον βαθμό η χρηματοδότηση συγκεντρώνεται σε περιορισμένο αριθμό δικαιούχων;","To what extent is funding concentrated among a limited number of beneficiaries?",Beneficiary,Approved budget,HHI; Gini; Lorenz/Pareto; quantile tables,Reconstructed from dataset scope
AT-RQ8,Antonis Tritsis,Προσδιοριστικοί παράγοντες προϋπολογισμού,"Ποια χαρακτηριστικά έργου, πρόσκλησης, δικαιούχου, χρόνου και Περιφέρειας συνδέονται με υψηλότερο εγκεκριμένο προϋπολογισμό;","Which project, call, beneficiary, time and regional characteristics are associated with a larger approved budget?",Project,Approved budget,Log-OLS HC3; GLM Gamma/log; quantile regression,Reconstructed from dataset scope
AT-RQ9,Antonis Tritsis,Υποδομές και πράσινη μετάβαση,"Πώς κατανέμεται η χρηματοδότηση μεταξύ ύδρευσης, λυμάτων, ΑΠΕ, αποβλήτων, οδοποιίας, αναπλάσεων, κτιρίων, έξυπνων πόλεων και λοιπών προτεραιοτήτων;","How is funding allocated across water, wastewater, renewables, waste, roads, regeneration, buildings, smart cities and other priorities?",Project/region,Thematic budget allocation,Composition; correspondence analysis; GIS small multiples,Reconstructed from AT01–AT13
AT-RQ10,Antonis Tritsis,Μέγεθος και πλήθος έργων,"Υφίσταται αντιστάθμιση μεταξύ χρηματοδότησης λίγων μεγάλων έργων και περισσότερων μικρότερων έργων ανά Περιφέρεια;","Is there a trade-off between funding a few large projects and a greater number of smaller projects by region?",Region,Mean budget and project count,Correlation; robust/quantile regression; frontier plot,Reconstructed from dataset scope
AT-RQ11,Antonis Tritsis,Πρόβλεψη και σενάρια,"Ποια κατανομή πρόσθετων πόρων θα μείωνε τις περιφερειακές και θεματικές ανισότητες υπό εναλλακτικούς περιορισμούς;","What allocation of additional resources would reduce regional and thematic inequalities under alternative constraints?",Region/call,Scenario allocation,Linear programming/Pyomo; sensitivity analysis,Reconstructed from scenario objective
AT-RQ12,Cross-programme,Συσχέτιση R&D και δημοτικών επενδύσεων,"Συμπίπτουν οι Περιφέρειες υψηλής ερευνητικής ικανότητας με εκείνες που προσελκύουν μεγαλύτερη ή πιο διαφοροποιημένη δημοτική αναπτυξιακή χρηματοδότηση;","Do regions with high research capacity also attract larger or more diversified municipal-development funding?",Region,Joined R&D and Antonis Tritsis indicators,Canonical correlation; clustering; spatial comparison,New cross-dataset question
